weather_id,weather_info,wind_speed,temperature,time
501,Rain,3.09,5.38,2023-03-06 15
500,Rain,3.6,5.39,2023-03-06 16
500,Rain,2.57,5.15,2023-03-06 17
500,Rain,3.09,4.88,2023-03-06 18
500,Rain,3.6,4.48,2023-03-06 19
500,Rain,4.63,3.75,2023-03-06 20
803,Clouds,5.14,3.3,2023-03-06 21
500,Rain,4.12,3.41,2023-03-06 22
500,Rain,4.12,2.85,2023-03-06 23
803,Clouds,4.12,2.61,2023-03-07 00
803,Clouds,3.09,2.52,2023-03-07 01
803,Clouds,4.12,2.36,2023-03-07 02
800,Clear,4.92,1.87,2023-03-07 03
803,Clouds,4.63,1.12,2023-03-07 04
800,Clear,2.57,0.82,2023-03-07 05
803,Clouds,4.12,-0.19,2023-03-07 06
803,Clouds,4.63,-0.68,2023-03-07 07
803,Clouds,4.12,-0.52,2023-03-07 08
801,Clouds,4.12,0.02,2023-03-07 09
801,Clouds,3.6,1.24,2023-03-07 10
801,Clouds,3.6,3.07,2023-03-07 11
802,Clouds,4.12,4.72,2023-03-07 12
801,Clouds,2.57,4.82,2023-03-07 13
802,Clouds,3.6,5.41,2023-03-07 14
802,Clouds,2.06,5.31,2023-03-07 15
801,Clouds,3.6,5.44,2023-03-07 16
801,Clouds,3.09,5.0,2023-03-07 17
801,Clouds,3.09,3.71,2023-03-07 17
801,Clouds,3.09,3.63,2023-03-07 18
801,Clouds,2.57,1.54,2023-03-07 19
801,Clouds,1.54,0.42,2023-03-07 20
803,Clouds,2.06,-0.29,2023-03-07 21
803,Clouds,2.06,0.44,2023-03-07 22
803,Clouds,3.09,1.26,2023-03-07 23
803,Clouds,2.57,1.41,2023-03-08 00
803,Clouds,3.6,2.38,2023-03-08 01
803,Clouds,5.14,3.29,2023-03-08 02
803,Clouds,5.14,3.32,2023-03-08 03
803,Clouds,5.66,3.32,2023-03-08 04
803,Clouds,6.17,3.42,2023-03-08 05
803,Clouds,6.17,3.18,2023-03-08 06
803,Clouds,6.71,3.18,2023-03-08 07
803,Clouds,6.69,3.39,2023-03-08 08
803,Clouds,7.2,3.78,2023-03-08 09
500,Rain,7.72,4.42,2023-03-08 10
803,Clouds,9.26,4.72,2023-03-08 11
500,Rain,9.26,5.09,2023-03-08 12
803,Clouds,9.26,5.54,2023-03-08 13
803,Clouds,8.75,4.94,2023-03-08 14
803,Clouds,9.26,5.0,2023-03-08 14
803,Clouds,9.77,5.0,2023-03-08 15
803,Clouds,8.75,4.41,2023-03-08 16
803,Clouds,10.29,3.45,2023-03-08 17
500,Rain,8.75,3.33,2023-03-08 18
803,Clouds,8.49,3.33,2023-03-08 19
803,Clouds,8.23,3.25,2023-03-08 20
803,Clouds,8.23,3.66,2023-03-08 21
803,Clouds,7.2,3.5,2023-03-08 22
500,Rain,7.72,3.4,2023-03-08 23
803,Clouds,7.72,3.1,2023-03-09 00
803,Clouds,6.71,3.08,2023-03-09 01
803,Clouds,5.81,3.08,2023-03-09 02
500,Rain,5.66,3.28,2023-03-09 03
500,Rain,6.17,3.33,2023-03-09 04
500,Rain,6.17,2.83,2023-03-09 05
500,Rain,6.17,2.55,2023-03-09 06
500,Rain,7.72,2.26,2023-03-09 07
501,Rain,7.15,2.32,2023-03-09 08
501,Rain,7.2,2.55,2023-03-09 09
500,Rain,7.72,2.55,2023-03-09 10
601,Snow,7.72,2.7,2023-03-09 11
501,Rain,8.75,2.94,2023-03-09 12
500,Rain,9.26,3.34,2023-03-09 13
601,Snow,8.75,3.06,2023-03-09 14
501,Rain,8.75,3.28,2023-03-09 15
500,Rain,9.26,3.79,2023-03-09 16
500,Rain,11.32,3.89,2023-03-09 17
500,Rain,11.83,3.66,2023-03-09 18
611,Snow,8.75,3.47,2023-03-09 19
500,Rain,13.89,3.09,2023-03-09 20
500,Rain,12.86,2.45,2023-03-09 21
611,Snow,10.8,2.61,2023-03-09 22
501,Rain,10.29,2.02,2023-03-09 23
601,Snow,11.32,1.6,2023-03-10 00
601,Snow,10.8,1.59,2023-03-10 01
611,Snow,9.77,1.48,2023-03-10 02
601,Snow,6.17,0.56,2023-03-10 03
600,Snow,7.72,0.69,2023-03-10 04
601,Snow,7.72,0.51,2023-03-10 05
601,Snow,6.69,0.64,2023-03-10 06
601,Snow,5.66,0.69,2023-03-10 07
802,Clouds,3.6,0.55,2023-03-10 08
601,Snow,4.63,0.74,2023-03-10 09
501,Rain,4.12,1.3,2023-03-10 10
803,Clouds,4.12,1.9,2023-03-10 11
803,Clouds,3.6,3.08,2023-03-10 12
803,Clouds,3.09,3.89,2023-03-10 13
803,Clouds,2.57,4.96,2023-03-10 14
802,Clouds,2.06,5.83,2023-03-10 15
801,Clouds,3.09,5.74,2023-03-10 16
801,Clouds,3.6,5.31,2023-03-10 17
801,Clouds,3.09,3.67,2023-03-10 18
802,Clouds,2.24,1.2,2023-03-10 19
800,Clear,1.54,1.37,2023-03-10 20
800,Clear,1.54,0.43,2023-03-10 21
800,Clear,2.57,-0.16,2023-03-10 22
803,Clouds,2.06,0.48,2023-03-10 23
803,Clouds,3.09,0.5,2023-03-11 00
803,Clouds,1.54,1.24,2023-03-11 01
803,Clouds,1.03,1.72,2023-03-11 02
600,Snow,3.09,1.79,2023-03-11 03
500,Rain,1.54,2.69,2023-03-11 04
500,Rain,4.63,3.08,2023-03-11 05
500,Rain,3.09,2.42,2023-03-11 06
803,Clouds,4.12,2.68,2023-03-11 07
500,Rain,3.6,3.42,2023-03-11 08
500,Rain,6.17,3.9,2023-03-11 09
803,Clouds,6.69,4.63,2023-03-11 10
500,Rain,7.72,4.57,2023-03-11 11
501,Rain,6.69,4.28,2023-03-11 12
611,Snow,6.17,3.84,2023-03-11 13
501,Rain,6.69,4.96,2023-03-11 14
803,Clouds,7.72,5.53,2023-03-11 15
803,Clouds,7.72,5.95,2023-03-11 16
803,Clouds,6.69,6.47,2023-03-11 17
803,Clouds,4.63,6.73,2023-03-11 18
803,Clouds,8.23,8.22,2023-03-11 19
803,Clouds,7.72,10.07,2023-03-11 20
803,Clouds,8.75,10.04,2023-03-11 21
803,Clouds,9.77,9.98,2023-03-11 22
803,Clouds,8.75,9.8,2023-03-11 23
803,Clouds,9.77,9.42,2023-03-12 00
803,Clouds,8.23,9.31,2023-03-12 01
803,Clouds,8.75,9.26,2023-03-12 02
803,Clouds,9.26,8.83,2023-03-12 03
803,Clouds,8.23,8.93,2023-03-12 04
803,Clouds,7.72,8.74,2023-03-12 05
803,Clouds,9.26,8.71,2023-03-12 06
803,Clouds,7.2,8.63,2023-03-12 07
803,Clouds,7.2,8.66,2023-03-12 08
803,Clouds,7.72,9.13,2023-03-12 09
803,Clouds,6.69,10.38,2023-03-12 10
803,Clouds,5.14,12.72,2023-03-12 11
803,Clouds,7.2,12.81,2023-03-12 12
803,Clouds,8.23,12.61,2023-03-12 13
803,Clouds,9.26,12.97,2023-03-12 14
803,Clouds,9.26,12.71,2023-03-12 15
803,Clouds,9.26,12.49,2023-03-12 16
500,Rain,8.75,12.54,2023-03-12 17
500,Rain,7.2,12.18,2023-03-12 18
500,Rain,5.14,11.22,2023-03-12 19
500,Rain,3.6,11.08,2023-03-12 20
803,Clouds,7.2,11.29,2023-03-12 21
501,Rain,7.72,12.37,2023-03-12 22
803,Clouds,10.29,12.25,2023-03-12 23
803,Clouds,12.35,12.63,2023-03-13 00
803,Clouds,9.77,12.63,2023-03-13 01
501,Rain,11.32,12.59,2023-03-13 02
803,Clouds,10.8,12.49,2023-03-13 03
803,Clouds,11.32,11.72,2023-03-13 04
520,Rain,9.26,10.46,2023-03-13 05
520,Rain,9.77,10.46,2023-03-13 06
803,Clouds,10.29,10.37,2023-03-13 07
803,Clouds,10.29,10.58,2023-03-13 08
803,Clouds,9.77,11.04,2023-03-13 09
300,Drizzle,10.29,11.58,2023-03-13 10
803,Clouds,8.75,11.91,2023-03-13 11
300,Drizzle,8.75,12.68,2023-03-13 12
803,Clouds,11.83,13.82,2023-03-13 13
520,Rain,10.29,13.1,2023-03-13 14
520,Rain,7.2,10.17,2023-03-13 15
803,Clouds,6.69,9.28,2023-03-13 16
803,Clouds,6.17,8.43,2023-03-13 17
